GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	355	+	3	3,4,5
SE001	356	397	+	1	9
SE001	398	449	+	9	10
SE001	450	509	-	6	6
SE001	510	599	-	5	2
SE001	600	697	-	0	1
SE001	698	850	+	2	7,8
SE002	1	316	+	3	1,2,3
SE002	317	463	+	1	4
SE002	464	558	+	9	5
SE002	559	624	+	6	6
SE002	625	684	+	5	7
SE002	685	744	+	0	8
SE002	745	854	+	2	9,10
SE003	1	209	+	3	9,10,1
SE003	210	306	-	1	5
SE003	307	465	-	9	4
SE003	466	564	-	6	3
SE003	565	657	-	5	2
SE003	658	717	+	0	6
SE003	718	867	+	2	7,8
SE004	1	358	+	3	3,4,5
SE004	359	400	+	1	9
SE004	401	452	+	9	10
SE004	453	512	-	6	6
SE004	513	602	-	5	2
SE004	603	698	-	0	1
SE004	699	851	+	2	7,8
SE005	1	355	+	3	3,4,5
SE005	356	397	+	1	9
SE005	398	449	+	9	10
SE005	450	509	-	6	6
SE005	510	599	-	5	2
SE005	600	697	-	0	1
SE005	698	850	+	2	7,8
