GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	342	+	3	1
SE001	343	417	+	9	2
SE001	418	490	+	11	3
SE001	491	562	+	8	4
SE001	563	655	+	1	5
SE001	656	676	+	5	6
SE001	677	1007	+	6	7,8,9
SE001	1008	1129	+	10	10
SE001	1130	1165	+	7	11
SE001	1166	1269	+	4	12
SE002	1	383	+	3	1
SE002	384	452	+	11	2
SE002	453	545	+	8	12
SE002	546	604	+	1	13
SE002	605	619	+	5	14
SE002	620	763	+	6	15,16,3
SE002	764	835	-	10	10
SE002	836	883	-	7	6
SE002	884	943	-	4	5
SE002	944	997	-	9	4
SE002	998	1106	-	11	9
SE002	1107	1220	-	8	8
SE002	1221	1275	-	1	7
SE002	1276	1353	+	5	11
SE003	1	343	+	3	1
SE003	344	415	-	9	2
SE003	416	484	+	11	3
SE003	485	562	+	8	4
SE003	563	643	+	1	5
SE003	644	703	+	5	6
SE003	704	941	+	6	7,8,9
SE003	942	1057	+	10	10
SE003	1058	1126	+	7	11
SE003	1127	1204	+	4	12
SE004	1	302	+	3	1
SE004	303	377	+	9	2
SE004	378	431	+	11	3
SE004	432	464	+	8	4
SE004	465	533	+	1	5
SE004	534	590	+	5	6
SE004	591	799	+	6	7,8,9
SE004	800	944	+	10	10
SE004	945	1025	+	7	11
SE004	1026	1121	+	4	12
SE005	1	331	+	3	1
SE005	332	406	+	9	2
SE005	407	475	+	11	3
SE005	476	538	+	8	4
SE005	539	622	+	1	5
SE005	623	682	+	5	6
SE005	683	856	+	6	7,8,9
SE005	857	973	+	10	10
SE005	974	1075	+	7	11
SE005	1076	1202	+	4	12
