GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	203	+	3	1,2
SE001	204	263	-	7	6
SE001	264	369	-	1	5
SE001	370	456	-	9	4
SE001	457	576	-	6	3
SE001	577	793	+	5	7,8,9,10
SE002	1	153	+	3	1,2
SE002	154	252	+	7	3
SE002	253	342	+	1	4
SE002	343	422	+	9	5
SE002	423	536	+	6	6
SE002	537	757	+	5	7,8,9,10
SE003	1	174	+	3	1,2
SE003	175	333	+	7	3
SE003	334	423	+	1	4
SE003	424	481	+	9	5
SE003	482	595	+	6	6
SE003	596	808	+	5	7,8,9,10
SE004	1	175	+	3	1,2
SE004	176	268	+	7	3
SE004	269	364	+	1	4
SE004	365	447	+	9	5
SE004	448	672	+	6	6
SE004	673	956	+	5	7,8,9,10
SE005	1	206	+	3	1,2
SE005	207	305	+	7	3
SE005	306	395	+	1	4
SE005	396	476	+	9	5
SE005	477	590	+	6	6
SE005	591	816	+	5	7,8,9,10
