GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	665	+	4	1,2,3,4,5,6
SE001	666	731	+	2	7
SE001	732	791	-	0	10
SE001	792	854	-	3	9
SE001	855	1130	-	10	8
SE001	1131	1386	+	7	11,12
SE002	1	568	+	4	1,2,3,4,5,6
SE002	569	628	+	2	7
SE002	629	918	+	0	8
SE002	919	990	+	3	9
SE002	991	1071	+	10	10
SE002	1072	1355	+	7	13,14
SE002	1356	1842	+	11	15,16,17,11,12
SE003	1	825	+	4	1,2,3,4,5,6
SE003	826	885	+	2	7
SE003	886	939	-	0	10
SE003	940	1002	-	3	9
SE003	1003	1281	-	10	8
SE003	1282	1556	+	7	11,12
SE004	1	685	+	4	1,2,3,4,5,6
SE004	686	862	+	2	7
SE004	863	922	-	0	10
SE004	923	988	-	3	9
SE004	989	1256	-	10	8
SE004	1257	1503	+	7	11,12
SE005	1	713	+	4	1,2,3,4,5,6
SE005	714	776	+	2	7
SE005	777	830	-	0	10
SE005	831	893	-	3	9
SE005	894	1166	-	10	8
SE005	1167	1446	+	7	11,12
