GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	60	+	3	1
SE001	61	144	+	4	2
SE001	145	195	-	9	5
SE001	196	246	-	5	4
SE001	247	276	-	0	3
SE001	277	520	+	2	6,7
SE002	1	57	-	3	1
SE002	58	123	+	4	2
SE002	124	524	+	6	3,4,5,6
SE002	525	578	+	5	7
SE002	579	629	+	0	8
SE002	630	867	+	2	9,10
SE003	1	96	+	3	1
SE003	97	153	+	4	2
SE003	154	210	+	0	3
SE003	211	528	+	2	4,5
SE004	1	117	+	3	1
SE004	118	183	+	4	2
SE004	184	581	+	6	3,4,5,6
SE004	582	635	+	5	7
SE004	636	692	+	0	8
SE004	693	939	+	2	9,10
SE005	1	57	+	3	1
SE005	58	123	+	4	2
SE005	124	513	+	6	3,4,5,6
SE005	514	567	+	5	7
SE005	568	624	+	0	8
SE005	625	869	+	2	9,10
