GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	368	+	3	1,2,3,4
SE001	369	416	+	10	5
SE001	417	556	+	7	6
SE001	557	622	+	5	7
SE001	623	871	+	0	8
SE001	872	958	+	2	9
SE001	959	1012	+	9	10
SE001	1013	1274	+	6	11,12
SE002	1	416	+	3	1,2,3,4
SE002	417	473	-	10	7
SE002	474	586	-	7	6
SE002	587	640	-	5	5
SE002	641	913	+	0	8
SE002	914	997	+	2	9
SE002	998	1048	+	9	10
SE002	1049	1306	+	6	11,12
SE003	1	401	+	3	1,2,3,4
SE003	402	464	+	10	5
SE003	465	566	+	7	6
SE003	567	587	-	5	10
SE003	588	653	-	0	9
SE003	654	930	-	2	8
SE003	931	993	-	9	7
SE003	994	1204	+	6	11,12
SE004	1	360	+	3	1,2,3,4
SE004	361	438	+	10	5
SE004	439	536	+	7	6
SE004	537	602	+	5	7
SE004	603	947	+	0	8
SE004	948	1010	+	2	9
SE004	1011	1064	+	9	10
SE004	1065	1267	+	6	11,12
SE005	1	418	+	3	1,2,3,4
SE005	419	475	-	10	7
SE005	476	585	-	7	6
SE005	586	639	-	5	5
SE005	640	913	+	0	8
SE005	914	997	+	2	9
SE005	998	1048	+	9	10
SE005	1049	1305	+	6	11,12
