GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	278	+	3	1,2,6,7
SE001	279	581	+	10	3,4
SE001	582	653	+	5	5
SE001	654	898	+	0	8
SE001	899	988	+	2	9
SE001	989	1027	+	9	10
SE001	1028	1096	+	6	11
SE001	1097	1269	+	4	13
SE001	1270	1516	+	8	14,12
SE002	1	403	+	3	1,2,3,4
SE002	404	566	+	10	5,6
SE002	567	632	-	5	9
SE002	633	934	-	0	8
SE002	935	1000	-	2	7
SE002	1001	1054	+	9	10
SE002	1055	1123	+	6	11
SE002	1124	1273	+	4	12
SE003	1	436	+	3	1,2,3,4
SE003	437	597	+	10	5,6
SE003	598	663	+	5	7
SE003	664	965	+	0	8
SE003	966	1031	+	2	9
SE003	1032	1073	+	9	10
SE003	1074	1139	+	6	11
SE003	1140	1330	+	4	12
SE004	1	284	+	3	1,2,6,7
SE004	285	548	+	10	3,4
SE004	549	611	+	5	5
SE004	612	875	+	0	8
SE004	876	953	+	2	9
SE004	954	992	+	9	10
SE004	993	1174	-	6	13
SE004	1175	1195	-	4	11
SE004	1196	1400	+	8	14,12
SE005	1	406	+	3	1,2,3,4
SE005	407	570	+	10	5,6
SE005	571	636	-	5	9
SE005	637	941	-	0	8
SE005	942	1007	-	2	7
SE005	1008	1058	+	9	10
SE005	1059	1127	+	6	11
SE005	1128	1277	+	4	12
