GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	93	-	3	3
SE001	94	129	-	5	2
SE001	130	222	-	7	11
SE001	223	285	-	1	10
SE001	286	357	+	8	4
SE001	358	428	+	6	5
SE001	429	644	+	4	1,6,7
SE001	645	689	+	7	8
SE001	690	770	+	5	9
SE002	1	84	+	3	4
SE002	85	166	+	5	5
SE002	167	268	+	7	6
SE002	269	319	-	1	3
SE002	320	361	-	8	2
SE002	362	430	-	6	1
SE002	431	601	+	4	7,8,9
SE003	1	81	-	3	4
SE003	82	171	+	5	1
SE003	172	276	+	7	2
SE003	277	339	+	1	3
SE003	340	392	+	8	5
SE003	393	413	+	6	6
SE003	414	609	+	4	7,8,9
SE004	1	66	-	3	3
SE004	67	312	-	5	2
SE004	313	390	-	7	1
SE004	391	437	-	1	5
SE004	438	524	-	8	4
SE004	525	611	-	6	6
SE004	612	785	+	4	7,8,9
SE005	1	81	-	3	4
SE005	82	171	+	5	1
SE005	172	276	+	7	2
SE005	277	339	+	1	3
SE005	340	393	+	8	5
SE005	394	414	+	6	6
SE005	415	601	+	4	7,8,9
