GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	249	+	3	1,2,3
SE001	250	291	-	1	4
SE001	292	383	+	9	5
SE001	384	461	+	6	6
SE001	462	515	+	5	7
SE001	516	833	+	0	8,9,10
SE002	1	278	+	3	1,2,3
SE002	279	356	+	1	4
SE002	357	494	+	9	5
SE002	495	542	-	6	7
SE002	543	620	-	5	6
SE002	621	1071	+	0	8,9,10
SE003	1	289	+	3	1,2,3
SE003	290	349	+	1	4
SE003	350	434	+	9	5
SE003	435	530	+	6	6
SE003	531	584	+	5	7
SE003	585	837	+	0	8,9,10
SE004	1	318	+	3	1,2,3
SE004	319	381	+	1	4
SE004	382	467	+	9	5
SE004	468	563	+	6	6
SE004	564	620	+	5	7
SE004	621	870	+	0	8,9,10
SE005	1	249	+	3	1,2,3
SE005	250	291	-	1	4
SE005	292	383	+	9	5
SE005	384	461	+	6	6
SE005	462	515	+	5	7
SE005	516	833	+	0	8,9,10
