GENOME	START	END	STRAND	FAMILY	POS_IN_FASTA
SE001	1	583	+	4	1,2,3,4
SE001	584	667	-	10	7
SE001	668	736	-	1	6
SE001	737	793	-	3	5
SE001	794	903	+	0	8
SE001	904	975	+	9	9
SE002	1	624	+	4	1,2,3,4
SE002	625	690	+	10	5
SE002	691	753	-	6	6
SE002	754	807	+	8	7
SE002	808	863	+	1	8
SE002	864	959	+	3	9
SE002	960	1032	+	0	13
SE002	1033	1131	+	9	14
SE002	1132	1200	+	5	15
SE002	1201	1382	+	7	16,10
SE002	1383	1463	+	10	11
SE002	1464	1572	+	6	12
SE003	1	610	+	4	1,2,3,4
SE003	611	664	+	10	5
SE003	665	724	+	6	6
SE003	725	784	+	8	7
SE003	785	839	+	1	8
SE003	840	902	+	3	9
SE003	903	1009	+	0	10
SE003	1010	1084	+	9	11
SE003	1085	1168	+	5	12
SE004	1	564	+	4	1,2,3,4
SE004	565	648	-	10	9
SE004	649	779	-	6	8
SE004	780	839	-	8	7
SE004	840	902	-	1	6
SE004	903	938	-	3	5
SE004	939	1045	+	0	10
SE004	1046	1114	+	9	13
SE004	1115	1156	+	5	14
SE004	1157	1273	+	1	15
SE004	1274	1422	+	8	16
SE004	1423	1494	+	6	11
SE004	1495	1556	+	0	12
SE005	1	626	+	4	1,2,3,4
SE005	627	692	+	10	5
SE005	693	755	-	6	6
SE005	756	809	+	8	7
SE005	810	866	+	1	8
SE005	867	962	+	3	9
SE005	963	1035	+	0	13
SE005	1036	1134	+	9	14
SE005	1135	1203	+	5	15
SE005	1204	1384	+	7	16,10
SE005	1385	1465	+	10	11
SE005	1466	1574	+	6	12
